model_label,threshold,max_depth,learning_rate,scale_pos_weight,subsample,accuracy,roc_auc,precision_1,recall_1,f1_1,support_1,precision_0,recall_0,f1_0,support_0,fp_rate,fn_rate,percent_predicted_not_delayed,true_positives,false_positives,true_negatives,false_negatives
model_1,0.15,4,0.05,3,0.8,0.21868072518814508,0.6973318564817744,0.14565912584088667,0.9773528971077762,0.25353310580313176,76919.33333333333,0.9654831328963481,0.09950415013328551,0.18041394419026827,489664.6666666667,0.9004958498667145,0.022647102892223787,8.907005257237525,75177.33333333333,440941.0,48723.666666666664,1742.0
model_1,0.2,4,0.05,3,0.8,0.32127628030442085,0.6973318564817744,0.15859018082953066,0.928899537408712,0.27092538200409644,76919.33333333333,0.9528739815540087,0.2258273334687486,0.36511927227744767,489664.6666666667,0.7741726665312515,0.07110046259128801,20.48216445693254,71450.33333333333,379085.0,110579.66666666667,5469.0
model_1,0.25,4,0.05,3,0.8,0.44375532430613407,0.6973318564817744,0.17698367459988248,0.8485122946912269,0.2928783645963762,76919.33333333333,0.9410941426301408,0.380173779242746,0.5415690853948729,489664.6666666667,0.619826220757254,0.15148770530877312,34.9127402115132,65267.0,303507.0,186157.66666666666,11652.333333333334
model_1,0.3,4,0.05,3,0.8,0.5681934776367376,0.6973318564817744,0.20141626427944115,0.7355021265771738,0.3162324566330696,76919.33333333333,0.9287884462141855,0.5419116760852497,0.6844643513070171,489664.6666666667,0.4580883239147502,0.26449787342282616,50.42500317693405,56574.333333333336,224309.66666666666,265355.0,20345.0
model_1,0.35,4,0.05,3,0.8,0.680446912255435,0.6973318564817744,0.23277288782333402,0.5896306954953306,0.3337774452665152,76919.33333333333,0.9150881972360038,0.6947128446007156,0.7898159680472879,489664.6666666667,0.3052871553992844,0.4103693045046694,65.61104208143306,45354.0,149488.33333333334,340176.3333333333,31565.333333333332
model_1,0.4,4,0.05,3,0.8,0.7657999519929967,0.6973318564817744,0.27195749847415623,0.4323360466801222,0.3338813449858766,76919.33333333333,0.9017232465840187,0.8181823768029739,0.8579228630019035,489664.6666666667,0.18181762319702602,0.5676639533198778,78.41720439217015,33255.0,89029.66666666667,400635.0,43664.333333333336
model_1,0.45,4,0.05,3,0.8,0.8228641590067257,0.6973318564817744,0.32234350698291964,0.27650177840254103,0.29766689960390863,76919.33333333333,0.8888324780479854,0.9086898925613256,0.8986514414023551,489664.6666666667,0.09131010743867445,0.7234982215974591,88.35483058705036,21268.333333333332,44711.333333333336,444953.3333333333,55651.0
model_2,0.15,4,0.05,3,1.0,0.21832008434171576,0.6972282484517116,0.14559693272944454,0.9773095631678116,0.2534374267019099,76919.33333333333,0.9652802051090061,0.09909366595910447,0.1797351824410418,489664.6666666667,0.9009063340408954,0.022690436832188337,8.872117814834164,75174.0,441142.0,48522.666666666664,1745.3333333333333
model_2,0.2,4,0.05,3,1.0,0.3208009168396331,0.6972282484517116,0.15849376265128637,0.9288865385225099,0.27078411845000444,76919.33333333333,0.9527590790594852,0.22527934030900035,0.3643941745389374,489664.6666666667,0.7747206596909996,0.0711134614774902,20.434981103125633,71449.33333333333,379353.3333333333,110311.33333333333,5470.0
model_2,0.25,4,0.05,3,1.0,0.4427387054111423,0.6972282484517116,0.17680159773530024,0.8492099952375652,0.2926705331697977,76919.33333333333,0.9411616173725553,0.37888786494445514,0.5402746995971894,489664.6666666667,0.621112135055545,0.15079000476243476,34.7921343819569,65320.666666666664,304136.6666666667,185528.0,11598.666666666666
model_2,0.3,4,0.05,3,1.0,0.5678298951847093,0.6972282484517116,0.20130312240440604,0.7357187956009336,0.31611274813819096,76919.33333333333,0.9287886332143988,0.5414569414426639,0.6841008476051025,489664.6666666667,0.45854305855733607,0.26428120439906627,50.382761720533345,56591.0,224532.33333333334,265132.3333333333,20328.333333333332
model_2,0.35,4,0.05,3,1.0,0.6803421910961128,0.6972282484517116,0.23272417937309883,0.5897346947540413,0.33374409222363527,76919.33333333333,0.915092410647374,0.6945753345460742,0.7897287142745331,489664.6666666667,0.3054246654539258,0.4102653052459588,65.59774602412587,45362.0,149555.66666666666,340109.0,31557.333333333332
model_2,0.4,4,0.05,3,1.0,0.766270608888826,0.6972282484517116,0.2721808693618935,0.4310706425622219,0.3336757702137174,76919.33333333333,0.901606151618059,0.818925741506046,0.858279228764002,489664.6666666667,0.181074258493954,0.5689293574377782,78.49862803514867,33157.666666666664,88665.66666666667,400999.0,43761.666666666664
